GAGNAISON,Sylvain,1980,1
BELBES,MISA,1980,1
GODEC,OSCAR,1980,1
DESCHAMPS,EMMY,1980,1
BEDU,Valentin,1980,1
OUVRIE,Benoit,1980,1
OUTREMAN,Dominique,1980,1
MOLLIER,ANNE,1980,1
BOUTOILLE,RADU,1980,1
MARTIGNOLES,ZOHRA,1980,1
PATENET,DONNA,1980,1
CRUZEL,MAJVI,1980,1
DARBAS,Riad,1980,1
BILLOTTET,Tristan,1980,1
LASTAPIS,ELIZAVETA,1980,1
ULARAOUI,Jean-luc,1980,1
FONBONNE,Christophe,1980,1
RICHOU,Aude,1980,1
MOELO,CÉLINE,1980,1
GREGORI,THIERRY,1980,1
PORTELLI,BEATRICE,1980,1
BOULADOU,SUSAN,1980,1
TRABUCHET,PAVEL,1980,1
SOUIFA,NOUREDINE,1980,1
DIGATI,BADIS,1980,1
DELHEZ,KÉVIN,1980,1
GROLEAU,RONNY,1980,1
CURUTCHET,Fantin,1980,1
NOBAR,MERIT,1980,1
GOODBAND,TEEMU,1980,1
COISCAUD,TAYEB,1980,1
MORAUX,Fethi,1980,1
FOURNI,DEIXONNE,1980,1
BOYAVAL,JUSSI,1980,1
BORDERAS,COLIN,1980,1
CIUTAT,IURII,1980,1
CEUNIS,Dorbane,1980,1
VUAILLAT,HANNU,1980,1
MASSINI,Guislaine,1980,1
DJAIZ,REDA,1980,1
COSTA,GÉRARD,1980,1
PETREMENT,DIMITRI,1980,1
RIFFAT,NICOLAE,1980,1
ZAPPE,JOSSELYNE,1980,1
DUFRENE,MICHA,1980,1
LEMIEUVRE,Alex,1980,1
METENIER,Graziella,1980,1
BIENFAIT,KRZYSZTOF,1980,1
ZIGADLO,ALEMU,1980,1
BOIAGO,Pascaline,1980,2
AKURA,MARIE-FRANEOISE,1980,2
MALMSTEN,JEAN-CHARLES,1980,2
BOLIN,Anne-laure,1980,2
TRUCHI,OLE,1980,2
FRICARD,Gauthier,1980,2
ZINKIEWICZ,AUDRAN,1980,2
KARA,DIEN,1980,2
CANDELORO,MAUREEN,1980,2
PASINATO,JEAN-MICHEL,1980,2
DAMAS,ÅSA,1980,2
EUGENIO,ZOLTAN,1980,2
AMIEL,Grégoire,1980,2
PLUQUET,GIANMARIA,1980,2
DIDTSCH,JASKA,1980,2
BINCOLETTO,GUYLAINE,1980,2
HADDAD,TIMO,1980,2
BARRIER,MICHELLE,1980,2
OUFEKIR,Florian,1980,2
DELGADO,GORDON,1980,2
BOY,NASSIM,1980,2
LINDNÉR,TOMOKO,1980,2
HURTAULT,MIKE,1980,2
SCHERECK,MYLENE,1980,2
DAUZET-GUIRAUD,Aurélia,1980,2
RABIAZA,GALL,1980,2
MERCADAL,Mylène,1980,2
CRESUT,CHARLOTTE,1980,2
ZAGLIO,JAMIE,1980,2
DUBUQUOI,CHRISTINA,1980,2
GIUDICELLI,Faieda,1980,2
BEVENOT,Warren,1980,2
KESTELOOT,Karl,1980,2
SAUVAGE,HELGA,1980,2
MONNEAUX,JEAN-GUILLAUME,1980,2
STIER,NADIA,1980,2
DESCAUSES,CARLO,1980,2
DELVINGT,NADEGE,1980,2
ANTOGNARELLI,WALTER,1980,2
DUFRESNE,Fran,1980,2
MAUVAIS,Nelly,1980,2
CEDRAOUI,COLINE,1980,2
NALES,CHARLIE,1980,2
VEZMAR,SANDIE,1980,2
HALIPRÉ,S,1980,2
WALLERS,Violaine,1980,2
SCANDELLA,PHILPPE,1980,2
CERNEAUX,Jérémy,1980,2
SEVREZ,Sandrine,1980,2
HALLUIN,ANASTASIA,1980,2
BUIGUES,HARRIET,1980,3
FILIPPI,SLAVA,1980,3
BARNABE,Ion,1980,3
GROLIER,Jean-marie,1980,3
CAMPENOIS,FRIDA,1980,3
CARDUNER,MINH,1980,3
BAHEUX,PIERRE-FRANÇOIS,1980,3
LANANI,MARA,1980,3
GALVAN,Clave,1980,3
